Gecko/20100101 Firefox/45.0,US-50 Flag,Fair,Run,0.089
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,parseE,0.074
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,Eval.run,0.002
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,unparseE,0.003
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,Eval.run,0.001
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,prepareLiveUpdates,0.013
Gecko/20100101 Firefox/45.0,Cover Logo,Fair,Run,0.097
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,parseE,0.011
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,Eval.run,0
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,unparseE,0
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,valToIndexedTree,0.001
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,Eval.run,0
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,prepareLiveUpdates,0.004
Gecko/20100101 Firefox/45.0,Thaw/Freeze,Fair,Run,0.019
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,parseE,0.081
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,Eval.run,0.011
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,unparseE,0.002
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,Eval.run,0.009
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,prepareLiveUpdates,1.146
Gecko/20100101 Firefox/45.0,Keyboard Task Before,Fair,Run,1.256
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,parseE,0.107
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,Eval.run,0.029
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,unparseE,0.008
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,valToIndexedTree,0.001
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,Eval.run,0.018
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,prepareLiveUpdates,3.243
Gecko/20100101 Firefox/45.0,Wave Boxes Grid,Fair,Run,3.41
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,parseE,0.066
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,Eval.run,0.01
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,unparseE,0.01
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,valToIndexedTree,0.003
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,Eval.run,0.009
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,valToIndexedTree,0.002
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,prepareLiveUpdates,0.017
Gecko/20100101 Firefox/45.0,Active Trans Logo,Fair,Run,0.12
Gecko/20100101 Firefox/45.0,Solar System,Fair,parseE,0.063
Gecko/20100101 Firefox/45.0,Solar System,Fair,Eval.run,0.008
Gecko/20100101 Firefox/45.0,Solar System,Fair,unparseE,0.005
Gecko/20100101 Firefox/45.0,Solar System,Fair,valToIndexedTree,0.001
Gecko/20100101 Firefox/45.0,Solar System,Fair,Eval.run,0.005
Gecko/20100101 Firefox/45.0,Solar System,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Solar System,Fair,prepareLiveUpdates,0.014
Gecko/20100101 Firefox/45.0,Solar System,Fair,Run,0.1
Gecko/20100101 Firefox/45.0,N Boxes,Fair,parseE,0.039
Gecko/20100101 Firefox/45.0,N Boxes,Fair,Eval.run,0.009
Gecko/20100101 Firefox/45.0,N Boxes,Fair,unparseE,0.002
Gecko/20100101 Firefox/45.0,N Boxes,Fair,valToIndexedTree,0.004
Gecko/20100101 Firefox/45.0,N Boxes,Fair,Eval.run,0.002
Gecko/20100101 Firefox/45.0,N Boxes,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,N Boxes,Fair,prepareLiveUpdates,0.012
Gecko/20100101 Firefox/45.0,N Boxes,Fair,Run,0.07
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,parseE,0.014
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,Eval.run,0.001
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,unparseE,0.002
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,valToIndexedTree,0.002
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,Eval.run,0.001
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,prepareLiveUpdates,0.004
Gecko/20100101 Firefox/45.0,3 Boxes,Fair,Run,0.025
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,parseE,0.034
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,Eval.run,0.005
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,unparseE,0.002
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,Eval.run,0.002
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,prepareLiveUpdates,0.002
Gecko/20100101 Firefox/45.0,Sample Rotations,Fair,Run,0.047
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,parseE,0.092
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,Eval.run,0.023
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,unparseE,0.003
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,valToIndexedTree,0.002
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,Eval.run,0.016
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,valToIndexedTree,0.002
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,prepareLiveUpdates,0.718
Gecko/20100101 Firefox/45.0,Frank Lloyd Wright B,Fair,Run,0.857
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,parseE,0.014
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,Eval.run,0
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,unparseE,0.002
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,valToIndexedTree,0.002
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,Eval.run,0
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,prepareLiveUpdates,0.005
Gecko/20100101 Firefox/45.0,N Boxes Sli,Fair,Run,0.027
Gecko/20100101 Firefox/45.0,Paths 1,Fair,parseE,0.011
Gecko/20100101 Firefox/45.0,Paths 1,Fair,Eval.run,0
Gecko/20100101 Firefox/45.0,Paths 1,Fair,unparseE,0
Gecko/20100101 Firefox/45.0,Paths 1,Fair,valToIndexedTree,0.001
Gecko/20100101 Firefox/45.0,Paths 1,Fair,Eval.run,0
Gecko/20100101 Firefox/45.0,Paths 1,Fair,valToIndexedTree,0
Gecko/20100101 Firefox/45.0,Paths 1,Fair,prepareLiveUpdates,0.002
Gecko/20100101 Firefox/45.0,Paths 1,Fair,Run,0.017
Gecko/20100101 Firefox/45.0,Haskell.org Logo,Fair,parseE,0.09
Gecko/20100101 Firefox/45.0,Haskell.org Logo,Fair,Eval.run,0.001
Gecko/20100101 Firefox/45.0,Haskell.org Logo,Fair,unparseE,0.002
Gecko/20100101 Firefox/45.0,Haskell.org Logo,Fair,valToIndexedTree,0.001
